#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xfce4-session,"is a session manager for xfce (used for granting permissions in pamac-manager)"
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,picom,"a more maintained and better x compositor"
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,vivaldi,"is an elegant browser with built-in adblocking and for powerusers"
,vivaldi-ffmpeg-codecs,"is proprietary codecs support for vivaldi"
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/DominickVale/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/DominickVale/dwm.git,"is the window manager."
G,https://github.com/DominickVale/polybar-dwm-module.git,"is an awesome fork of polybar that enables dwm to use polybar"
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,discord,"is just discord..."
A,visual-studio-code-bin,"is just visual studio code."
,firefox-developer-edition,"is another browser for web development..."
A,spotify,"it's just spotify... The proprietary one"
,torbrowser-launcher,"is the popular tor browser."
,copyq,"is a very nice clipboard manager"
,tmux,"is a nice terminal multiplexer"
A,i3lock-fancy-git,"is a nice lockscreen"
A,ttf-font-awesome,"is a font that provides cool icons"
,xorg-xfontsel,"is a font utility"
,font-manager,"is a lightweight font manager"
,ttf-ubuntu-font-family,"is the ubuntu font"
,playerctl,"is a media player controller"
,openbsd-netcat,"is g'old netcat"
,jsoncpp,"is some needed library..."
,yajl-git,"is some other needed library..."
,acpilight,"is a backwards compatible xbacklight replacement"
A,zscroll-git,"is some other needed library"
,sysstat,"is a collection of perf monitoring tools"
,rofi,"is rofi."
,rofi-calc,"calculator for rofi"
A,vidir,"is a command line utility to allow editing dirs/files"
,pulseaudio-bluetooth,"adds pulseaudio bluetooth support, without this connecting to headphones etc. fails"
A,archlinux-java-run,"is a java application launcher utility"
,jre-openjdk,"is the lastest java runtime"
,jdk-opekjdk,"is the latest java jdk"
,nvm,"is node version management"
,llvm,"contains clang and other useful tools"
,gdb,"is the gnu debugger"
,redshift,"is an utility to help my eyes at night"
,qbittorrent,"is qbittorrent"
,pv,"is a progress bar for pipes operations"
,nethogs,"is a network usage inspection utility"
,python2,"is python2"
,python2-pip,"is the package manager for python2"
,python-pip,"is the package manager for python3"
,ripgrep,"is a better grep"
,fd,""
,tmuxp,"is a tmux session manaager"
,shellcheck,"is needed for nvim"
A,autojump,"is a better way to jump between folders and stuff"
A,dragon-drag-and-drop,"is a d&d source/sink for x"
A,cheat,"cheatsheets helper"
,calcurse,"is the good old calcurse"
,weechat,"is an irc client"
,proxychains-ng,"git proxied"
A,nordvpn-bin,"is a vpn"
A,bitlbee,"is for weechat"
,kmag,"is a magnifier"
,rclone,"is for syncing drives"
,github-cli,"is the official github cli"
